date;code_produit;code_region;commercial;quantite;prix_unitaire;cout_unitaire
2026-01-01;P001;N;Awa;1;18000;12240
2026-01-03;P002;S;Moussa;2;9000;6390
2026-01-05;P003;C;Idrissa;3;145000;107300
2026-01-07;P004;O;Fatou;4;32000;21760
2026-01-09;P005;N;Awa;5;24000;17040
2026-01-11;P001;S;Moussa;6;18000;13320
2026-01-13;P002;C;Idrissa;7;9000;6120
2026-01-15;P003;O;Fatou;8;145000;102950
2026-01-17;P004;N;Awa;9;32000;23680
2026-01-19;P005;S;Moussa;1;24000;16320
2026-01-21;P001;C;Idrissa;2;18000;12780
2026-01-23;P002;O;Fatou;3;9000;6660
