id_vente;date_vente;code_produit;code_client;code_region;quantite;prix_unitaire;cout_unitaire;montant;marge;canal
V03001;2026-03-02;P005;C007;R04;4;175000;118000;700000;228000;En ligne
V03002;2026-03-03;P006;C010;R03;1;35000;21000;35000;14000;Partenaire
V03003;2026-03-04;P001;C013;R02;4;525000;385000;2100000;560000;Boutique
V03004;2026-03-05;P002;C016;R01;1;185000;132000;185000;53000;En ligne
V03005;2026-03-06;P003;C019;R04;4;210000;158000;840000;208000;Partenaire
V03006;2026-03-07;P004;C022;R03;1;145000;92000;145000;53000;Boutique
V03007;2026-03-08;P005;C025;R02;4;175000;118000;700000;228000;En ligne
V03008;2026-03-09;P006;C028;R01;1;35000;21000;35000;14000;Partenaire
V03009;2026-03-10;P001;C031;R04;4;525000;385000;2100000;560000;Boutique
V03010;2026-03-11;P002;C034;R03;1;185000;132000;185000;53000;En ligne
V03011;2026-03-12;P003;C037;R02;4;210000;158000;840000;208000;Partenaire
V03012;2026-03-13;P004;C040;R01;1;145000;92000;145000;53000;Boutique
V03013;2026-03-14;P005;C003;R04;4;175000;118000;700000;228000;En ligne
V03014;2026-03-15;P006;C006;R03;1;35000;21000;35000;14000;Partenaire
V03015;2026-03-16;P001;C009;R02;4;525000;385000;2100000;560000;Boutique
V03016;2026-03-17;P002;C012;R01;1;185000;132000;185000;53000;En ligne
V03017;2026-03-18;P003;C015;R04;4;210000;158000;840000;208000;Partenaire
V03018;2026-03-19;P004;C018;R03;1;145000;92000;145000;53000;Boutique
V03019;2026-03-20;P005;C021;R02;4;175000;118000;700000;228000;En ligne
V03020;2026-03-21;P006;C024;R01;1;35000;21000;35000;14000;Partenaire
V03021;2026-03-22;P001;C027;R04;4;525000;385000;2100000;560000;Boutique
V03022;2026-03-23;P002;C030;R03;1;185000;132000;185000;53000;En ligne
V03023;2026-03-24;P003;C033;R02;4;210000;158000;840000;208000;Partenaire
V03024;2026-03-25;P004;C036;R01;1;145000;92000;145000;53000;Boutique
V03025;2026-03-26;P005;C039;R04;4;175000;118000;700000;228000;En ligne
V03026;2026-03-27;P006;C002;R03;1;35000;21000;35000;14000;Partenaire
V03027;2026-03-28;P001;C005;R02;4;525000;385000;2100000;560000;Boutique
V03028;2026-03-29;P002;C008;R01;1;185000;132000;185000;53000;En ligne
V03029;2026-03-30;P003;C011;R04;4;210000;158000;840000;208000;Partenaire
V03030;2026-03-31;P004;C014;R03;1;145000;92000;145000;53000;Boutique
